CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
11001004300,District of Columbia,District of Columbia,3720,2127,1593,16,52.3,26.7,0,1.7,0,2777,80000,11218,59883,6335,11.8,27,73.8,5.2,12.3,7.3,1.3,19.2,2.9,43.5,19.4,8.9,6.2,28.1,2618,76.6,20.6,2.8,0,7.1
11001004400,District of Columbia,District of Columbia,5702,3099,2603,7.3,67.8,15.8,0,4.3,0,4799,148766,15550,84904,10608,13.5,28.2,82.6,4.9,10.9,0.7,0.8,21.4,4.8,35.5,19.9,11.8,6.5,25.2,4431,69.4,25,5.6,0,3.7
11001004600,District of Columbia,District of Columbia,2947,1356,1591,8.5,31.4,53.2,3.3,2.4,0,2301,64235,31392,45979,7846,13.9,36.3,54.5,12.9,19.5,5.2,7.9,34.1,10.4,26,12,12.1,5.4,28.2,1679,69.6,22.5,7.9,0,9.6
11001004701,District of Columbia,District of Columbia,4478,2180,2298,4.4,14.8,68.8,0,9.1,0,3175,24767,4423,34229,7917,23.6,30.6,54,22.5,10.3,7,6.1,25.4,8.1,37,18.3,5.4,5.8,31.2,2003,61.3,35.5,3.1,0,8.4
11001004702,District of Columbia,District of Columbia,2558,1219,1339,6.1,49.7,37.5,0,5.1,0,2231,94688,14725,72154,9480,15.1,35.6,73.9,8.2,16.9,0.4,0.7,24.6,2.6,28.7,33.3,6,4.9,23.1,1667,65.1,28.9,6,0,6.9
11001004801,District of Columbia,District of Columbia,2223,1029,1194,6.6,35.2,47.5,0,7.3,0,1909,103273,7835,53431,4805,9.7,0,64.5,14.6,16.6,1.4,2.9,26,5.4,46.2,13.2,7.8,1.4,30.5,1564,71.2,26.3,2.5,0,4.5
11001004802,District of Columbia,District of Columbia,3548,1650,1898,13,25.1,48.2,0,11.1,0,2626,63015,24508,47257,6198,25.7,38.8,61,22,12.5,2.2,2.3,20.2,2.9,34.5,29.6,9.4,3.4,25.2,2254,71.8,23.2,5,0,3
11001004901,District of Columbia,District of Columbia,2600,1204,1396,15.7,33.5,41.3,0,7,0,1834,67104,12620,42893,6378,20.8,32.3,64.4,15.4,16.1,1.1,3,27.9,0.7,30.4,20.5,13.4,7.1,24.9,1488,76.9,17.7,4.6,0.7,8.3
11001004902,District of Columbia,District of Columbia,2842,1515,1327,21.3,43.6,21.4,0.4,10,0,2190,81591,35121,58332,7417,12.3,9.7,65,14.4,15.4,1.7,3.5,24.3,1.3,34.3,31.1,5.7,3.3,24.3,2094,76.7,21,2.2,0,5
11001005001,District of Columbia,District of Columbia,2116,1287,829,14.4,61.3,13.4,0,3.6,0,1717,133686,16235,85672,16681,8.3,0,69.7,11.4,16.6,1.5,0.8,23.8,1.4,26.8,37.9,7.2,2.9,24,1580,75.9,20.9,3.2,0,2.5
11001005002,District of Columbia,District of Columbia,6051,3548,2503,23,46.4,19.9,0.4,5.5,0.5,4561,81128,7714,64399,8778,13.1,9.7,69,16.9,8.6,4.2,1.2,13.9,2.1,24,51,5.4,3.5,23,4330,78.8,19.3,2,0,4.1
11001005201,District of Columbia,District of Columbia,6224,3487,2737,12.8,71.7,3.6,0,7.9,0,5273,102420,17722,91032,10498,7.9,0,77.2,11.3,10,0.5,1,22.8,1.2,30.1,42.7,2.7,0.5,24.9,5327,79.2,19.5,1.3,0,2.8
11001005301,District of Columbia,District of Columbia,4999,2457,2542,5.5,76.2,3.2,1.2,10,0,4274,89097,21788,80263,8402,7.8,0,78.3,4,17.4,0,0.4,13.9,2,31.8,40.8,7.9,3.5,24.3,3991,73.9,22.7,3.4,0,0.8
11001005500,District of Columbia,District of Columbia,6632,3388,3244,11.3,68,5.5,0.9,11.6,0,5213,97558,30933,92668,18651,18.2,39,84,4.8,11.2,0,0,22,1.9,32.7,32.7,5.9,4.9,25.7,4738,69.9,26.3,3.3,0.5,2.5
11001005600,District of Columbia,District of Columbia,6964,3183,3781,9.7,67.8,6.4,0,11.9,0,5678,71250,21241,65433,13243,22.1,0,76.5,5.8,16.2,0.4,1.1,14.9,0.1,27.9,52.2,2.9,2.1,25.2,4088,67.5,29.2,3.3,0,2.9
11001005800,District of Columbia,District of Columbia,2781,1476,1305,5.5,62.4,6.9,0,22.8,0,2308,124306,17771,99832,13723,16.4,22.6,78.1,10.1,10.4,0,1.4,17.1,1.4,29.8,41.1,2.1,8.4,21.8,1988,67.1,27.4,5.6,0,5.6
11001005900,District of Columbia,District of Columbia,2882,1485,1397,10.9,56,17.7,0,12.1,0,2556,99330,13327,57361,5628,13.9,0,74.5,8.7,15.5,0,1.3,15.3,0.4,34.2,39,6.8,4.3,23.1,2043,76.5,20.7,2.9,0,5.2
11001006202,District of Columbia,District of Columbia,117,60,57,0,56.4,43.6,0,0,0,97,,,58019,45977,0,0,85.6,0,14.4,0,0,41.2,0,0,0,41.2,17.5,,97,100,0,0,0,0
